Type,Try,Target,Assistant,Error,Time,v1,v3
8,0,68,0,0,715,2.4516625,0.7134721
8,0,79,0,0,1117,1.1875241,0.18674773
8,0,65,2,0,3021,1.5705963,1.2545617
8,0,45,0,0,1076,2.5330653,2.4899697
8,0,67,0,0,608,2.5761611,1.1731589
8,0,87,0,0,771,0.22026655,0.6464345
8,0,51,0,0,811,3.3662477,1.9201498
8,0,96,1,0,1368,0.40701428,0.033518825
8,0,70,0,1,1227,1.6519991,0.8283938
8,0,89,2,0,2762,0.81881696,0.6847417
8,0,10,1,0,2610,1.2449849,0.3878607
8,0,45,0,0,736,3.3087866,1.7956513
8,0,49,1,0,1295,1.9009962,1.2689269
8,0,66,1,0,1428,1.7238252,1.3599066
8,0,4,1,0,1573,1.5849615,0.51714754
8,0,58,1,0,1373,2.2122424,1.8674773
8,0,0,1,0,2300,0.6703765,0.34955344
8,0,59,0,0,909,2.4133554,2.0015526
8,0,46,0,0,606,3.1986535,2.1739352
8,0,64,1,0,1208,1.1971009,0.45010993
8,0,34,1,0,1747,3.9217024,2.3463178
8,0,110,0,0,747,0.7374141,0.89064306
8,0,72,1,0,1282,1.2401965,0.30645782
8,0,16,1,0,2432,4.596867,2.0254946
8,0,1,1,0,1954,1.3790601,0.15801731
8,0,30,0,1,1447,4.865018,1.8866309
8,0,108,0,0,902,1.5610195,0.866701
8,0,44,0,0,831,4.122815,1.8291701
8,0,23,1,0,1813,0.9720459,0.61770403
8,0,17,1,0,1857,1.1252748,0.1388637
8,1,68,0,0,633,2.5570073,1.0630256
8,1,16,2,0,4897,0.842759,0.11492168
8,1,88,1,0,1424,0.6368576,0.01436521
8,1,3,1,0,1289,2.2122424,0.2873042
8,1,41,1,0,1740,1.9680338,1.2114661
8,1,31,1,1,4353,3.964798,2.0733786
8,1,106,3,0,6135,1.4652514,0.90500826
8,1,83,0,0,733,2.9113493,0.48362875
8,1,77,0,0,528,1.7956513,0.37349546
8,1,18,1,0,1424,1.2641385,0.38307226
8,1,101,0,0,591,1.3311762,0.1436521
8,1,63,0,0,658,1.910573,0.94331545
8,1,66,1,0,1225,1.9201498,1.6424223
8,1,76,0,0,566,2.2457612,1.3503298
8,1,78,0,0,639,1.436521,0.7182605
8,1,60,0,0,581,2.882619,1.7812861
8,1,14,3,0,4141,1.1444284,0.23463176
8,1,61,0,0,779,2.8443117,0.8379706
8,1,56,1,0,1217,1.8531121,1.1013328
8,1,35,1,0,1573,4.1659107,2.1643584
8,1,100,0,1,1195,2.0685902,0.7326257
8,1,30,0,0,768,4.4244847,1.2785037
8,1,105,1,0,1496,1.0007763,0.6799533
8,1,44,1,0,1769,2.5570073,0.59376204
8,1,111,0,0,797,0.60333884,0.31124622
8,1,29,0,0,973,4.5633483,1.7046716
8,1,13,4,0,5710,1.388637,0.39743748
8,1,99,0,1,1700,2.6384103,0.51235914
8,1,108,0,0,533,1.8483237,0.12928689
8,1,9,1,0,1304,1.4173675,0.50757074
8,2,68,0,0,479,2.6240451,1.4796166
8,2,85,0,0,453,2.3942018,0.8858546
8,2,10,2,0,3066,1.3215994,0.4309563
8,2,77,0,0,761,2.5139117,0.47884035
8,2,31,1,0,1606,1.0151415,0.038307227
8,2,86,0,0,602,1.7286136,0.320823
8,2,55,0,0,666,3.0885203,1.4173675
8,2,61,0,0,476,3.1794999,1.340753
8,2,57,1,0,1417,2.4756045,1.3982137
8,2,92,0,1,1079,2.0685902,0.61291564
8,2,33,1,0,1604,1.9919758,0.58897364
8,2,53,0,0,716,2.906561,1.8579005
8,2,107,1,0,3037,4.6686935,1.7429788
8,2,6,0,1,1389,5.281609,2.303222
8,2,1,1,0,1978,1.5658079,0.11971009
8,2,100,0,0,714,2.432509,0.37349546
8,2,47,0,0,676,3.4045548,1.3742718
8,2,79,0,0,570,1.2306197,0.45010993
8,2,37,0,0,649,4.525041,1.4939818
8,2,4,1,0,1435,2.1260512,0.7086837
8,2,46,0,0,754,2.5953147,1.2976574
8,2,56,1,0,1194,1.8052281,0.17717093
8,2,91,0,0,641,2.3750482,0.19153613
8,2,17,1,0,1844,1.1923125,0.11492168
8,2,27,1,0,1556,2.5187001,0.49799395
8,2,51,0,0,790,3.7732618,1.9153614
8,2,11,1,0,1399,2.135628,0.02873042
8,2,71,0,0,712,1.3455414,0.095768064
8,2,90,0,0,656,2.695871,0.07182605
8,2,8,1,0,1215,1.0630256,0.80445176
8,3,68,0,0,502,2.858677,0.9624691
8,3,57,0,0,841,5.5641246,1.1013328
8,3,54,0,0,640,3.064578,0.80924016
8,3,73,1,0,1320,1.3072342,0.272939
8,3,48,1,0,2107,2.6719291,0.91937345
8,3,43,0,0,1487,3.715801,1.8818425
8,3,54,0,1,1451,2.6001031,1.0630256
8,3,76,0,0,560,1.8483237,0.48841715
8,3,93,0,0,522,1.5227122,0.23942018
8,3,20,1,0,1595,1.7764976,0.6607997
8,3,95,0,0,876,0.44532153,0.545878
8,3,28,1,0,1547,1.910573,0.110133275
8,3,75,0,0,612,2.834735,0.94810385
8,3,105,1,0,2653,5.377377,2.0015526
8,3,33,1,0,1540,3.0454245,0.9816227
8,3,104,1,0,1643,0.6607997,0.6512229
8,3,36,0,0,834,4.012682,1.9057846
8,3,19,0,1,1027,5.521029,3.1555579
8,3,103,0,1,1482,1.1444284,0.01436521
8,3,98,2,0,3165,1.1971009,0.8379706
8,3,62,0,0,721,2.2122424,0.641646
8,3,38,0,0,609,3.5194764,1.9728222
8,3,52,0,0,520,3.0597897,1.1971009
8,3,74,0,0,626,3.4284968,0.34476504
8,3,95,0,0,682,0.21547815,0.45968673
8,3,24,1,0,1464,4.189853,2.2649148
8,3,82,0,0,762,3.040636,0.15801731
8,3,21,0,0,801,4.4196963,2.0398598
8,3,97,2,0,3038,0.94810385,0.60812724
8,3,12,2,0,3262,1.1923125,0.61291564
8,4,68,0,1,996,2.4468741,1.163582
8,4,81,0,0,772,3.323152,0.5554548
8,4,7,1,0,1609,0.9911995,0.5315128
8,4,38,0,0,867,3.9456444,2.4756045
8,4,58,0,0,584,4.2999864,2.1452048
8,4,83,0,0,566,2.801216,0.93373865
8,4,24,1,0,1599,1.2114661,0.61291564
8,4,109,0,0,627,1.4077905,0.31124622
8,4,84,0,0,542,2.1068976,0.59855044
8,4,72,1,0,1263,0.90021986,0.19153613
8,4,22,1,0,1406,1.1109096,0.23942018
8,4,9,1,0,1482,1.0103531,0.047884032
8,4,50,1,0,1753,3.1316159,1.6950948
8,4,94,0,0,710,1.1779473,0.12449849
8,4,34,1,1,2324,5.109226,2.030283
8,4,109,0,0,905,1.7956513,1.0055647
8,4,40,1,0,1426,2.8107927,1.091756
8,4,26,3,1,4212,2.7820623,0.38307226
8,4,39,0,0,809,4.271256,2.6767175
8,4,18,1,0,1808,1.3359646,0.14844051
8,4,102,0,0,914,0.91458505,0.25857377
8,4,80,1,0,1305,1.1827357,0.45010993
8,4,84,0,0,707,2.2984335,0.1388637
8,4,107,0,0,688,2.3654714,0.10055647
8,4,28,1,0,1964,2.15957,0.63206923
8,4,32,1,0,1486,3.4332852,1.9871874
8,4,42,1,0,1418,2.8921957,1.5897499
8,4,25,2,0,2691,3.8259344,2.15957
8,4,5,1,0,1602,1.1923125,0.79008657
8,4,21,1,0,1468,1.2976574,0.32561144
6,0,68,0,1,1495,1.7717092,0.6895301
6,0,79,0,0,666,0.11492168,0.10055647
