Region,Country Name,Country Code,Year,Value
Asia,China,CHN,2006,1311020000
Asia,China,CHN,2007,1317885000
Asia,China,CHN,2008,1324655000
Asia,China,CHN,2009,1331380000
Asia,China,CHN,2010,1338300000
Europe,France,FRA,2006,63437350
Europe,France,FRA,2007,63826129
Europe,France,FRA,2008,64188122
Europe,France,FRA,2009,64542632
Europe,France,FRA,2010,64895000
Europe,Germany,DEU,2006,82376451
Europe,Germany,DEU,2007,82266372
Europe,Germany,DEU,2008,82110097
Europe,Germany,DEU,2009,81902307
Europe,Germany,DEU,2010,81777000
Asia,Japan,JPN,2006,127756000
Asia,Japan,JPN,2007,127770750
Asia,Japan,JPN,2008,127704040
Asia,Japan,JPN,2009,127557958
Asia,Japan,JPN,2010,127451000
Asia,"Korea, Rep.",KOR,2006,48297000
Asia,"Korea, Rep.",KOR,2007,48456000
Asia,"Korea, Rep.",KOR,2008,48607000
Asia,"Korea, Rep.",KOR,2009,48747000
Asia,"Korea, Rep.",KOR,2010,48875000
