ID,Country,Do,Gu,City,Pop,Pop Level,Gender Ratio,Size (km²),X,Y
1,대한민국,수도권,서울특별시,강동구,483379,2,100.20,24.59,175.54,169.69
2,대한민국,수도권,서울특별시,송파구,668415,3,104.50,33.87,171.25,175.81
3,대한민국,수도권,서울특별시,광진구,368927,2,102.90,17.06,168.08,168.77
4,대한민국,수도권,서울특별시,중랑구,416798,2,99.80,18.50,169.13,161.86
5,대한민국,수도권,서울특별시,노원구,590479,3,104.70,35.44,167.29,152.85
6,대한민국,수도권,서울특별시,강남구,563599,3,108.30,39.50,165.62,177.40
7,대한민국,수도권,서울특별시,성동구,299337,2,100.50,16.85,162.58,169.15
8,대한민국,수도권,서울특별시,동대문구,364273,2,99.10,14.21,163.79,163.98
9,대한민국,수도권,서울특별시,성북구,476589,2,103.20,24.58,160.62,159.65
10,대한민국,수도권,서울특별시,강북구,338707,2,102.40,23.60,159.50,152.69
11,대한민국,수도권,서울특별시,도봉구,358582,2,102.40,20.70,161.63,150.71
12,대한민국,수도권,서울특별시,서초구,441763,2,107.10,47.00,161.31,180.44
13,대한민국,수도권,서울특별시,용산구,239740,2,105.80,21.87,154.67,171.76
14,대한민국,수도권,서울특별시,중구1,130465,2,99.60,9.96,156.41,167.64
15,대한민국,수도권,서울특별시,종로구,160070,2,101.30,23.91,156.22,160.79
16,대한민국,수도권,서울특별시,은평구,503660,3,104.00,29.70,148.41,157.54
17,대한민국,수도권,서울특별시,서대문구,314110,2,104.90,17.61,149.56,163.76
18,대한민국,수도권,서울특별시,마포구,381856,2,106.70,23.84,145.94,167.01
19,대한민국,수도권,서울특별시,강서구1,569070,3,103.80,41.43,134.92,166.07
20,대한민국,수도권,서울특별시,양천구,492528,2,101.20,17.40,138.63,172.26
21,대한민국,수도권,서울특별시,구로구,424964,2,99.30,20.12,138.72,177.73
22,대한민국,수도권,서울특별시,금천구,241020,2,95.20,13.02,144.41,182.66
23,대한민국,수도권,서울특별시,관악구,518028,3,97.50,29.57,150.63,182.39
24,대한민국,수도권,서울특별시,동작구,410815,2,103.20,16.35,150.13,177.29
25,대한민국,수도권,서울특별시,영등포구,386471,2,99.30,24.53,146.56,173.23
26,대한민국,수도권,인천광역시,계양구,343806,2,99.30,45.57,124.33,167.77
27,대한민국,수도권,인천광역시,부평구,556985,3,100.10,32.00,122.96,177.81
28,대한민국,수도권,인천광역시,서구3,490035,2,97.60,114.01,113.37,167.69
29,대한민국,수도권,인천광역시,연수구,300305,2,100.00,45.57,115.54,190.06
30,대한민국,수도권,인천광역시,남구3,411330,2,97.90,24.84,116.25,184.02
31,대한민국,수도권,인천광역시,남동구,507021,3,100.30,57.01,122.54,187.81
32,대한민국,수도권,인천광역시,동구3,75093,1,98.60,7.19,111.53,179.07
33,대한민국,수도권,인천광역시,강화군,66735,1,99.10,411.33,80.17,149.60
34,대한민국,수도권,인천광역시,중구4,107774,2,93.10,131.29,98.69,182.19
35,대한민국,수도권,인천광역시,옹진군,20698,1,77.00,172.07,53.08,194.90
36,대한민국,수도권,경기도,김포시,312305,2,98.50,276.00,115.00,148.11
37,대한민국,수도권,경기도,고양시,990571,3,103.00,0.00,135.67,151.44
38,대한민국,수도권,경기도,파주시,401718,2,96.60,672.77,137.08,121.86
39,대한민국,수도권,경기도,양주시,199143,2,96.60,310.36,158.75,128.77
40,대한민국,수도권,경기도,의정부시,430976,2,102.20,81.54,165.33,140.11
41,대한민국,수도권,경기도,동두천시,97557,1,100.10,95.66,166.33,111.11
42,대한민국,수도권,경기도,연천군,45610,1,92.40,675.83,152.59,80.94
