Region,Country,Year,Population
nominal,nominal,ordinal,num
Asia,Australia,2001,19413
Asia,Australia,2002,19651
Asia,Australia,2003,19895
Asia,Australia,2004,20127
Asia,Australia,2005,20395
Asia,Australia,2006,20698
Asia,Australia,2007,21073
Asia,Australia,2008,21499
Asia,Australia,2009,21952
Asia,Australia,2010,22299
N. America,Canada,2001,31082
N. America,Canada,2002,31362
N. America,Canada,2003,31676
N. America,Canada,2004,31995
N. America,Canada,2005,32312
N. America,Canada,2006,32576
N. America,Canada,2007,32930
N. America,Canada,2008,33319
N. America,Canada,2009,33730
N. America,Canada,2010,34126
Europe,France,2001,61202
Europe,France,2002,61644
Europe,France,2003,62078
Europe,France,2004,62533
Europe,France,2005,63001
Europe,France,2006,63437
Europe,France,2007,63826
Europe,France,2008,64188
Europe,France,2009,64543
Europe,France,2010,64895
Europe,Germany,2001,82350
Europe,Germany,2002,82488
Europe,Germany,2003,82534
Europe,Germany,2004,82516
Europe,Germany,2005,82469
Europe,Germany,2006,82376
Europe,Germany,2007,82266
Europe,Germany,2008,82110
Europe,Germany,2009,81902
Europe,Germany,2010,81777
Asia,Japan,2001,127149
Asia,Japan,2002,127445
Asia,Japan,2003,127718
Asia,Japan,2004,127761
Asia,Japan,2005,127773
Asia,Japan,2006,127756
Asia,Japan,2007,127771
Asia,Japan,2008,127704
Asia,Japan,2009,127558
Asia,Japan,2010,127451
Asia,"Korea, Rep.",2001,47357
Asia,"Korea, Rep.",2002,47622
Asia,"Korea, Rep.",2003,47859
Asia,"Korea, Rep.",2004,48039
Asia,"Korea, Rep.",2005,48138
Asia,"Korea, Rep.",2006,48297
Asia,"Korea, Rep.",2007,48456
Asia,"Korea, Rep.",2008,48607
Asia,"Korea, Rep.",2009,48747
Asia,"Korea, Rep.",2010,48875
Europe,United Kingdom,2001,59108
Europe,United Kingdom,2002,59326
Europe,United Kingdom,2003,59566
Europe,United Kingdom,2004,59868
Europe,United Kingdom,2005,60224
Europe,United Kingdom,2006,60596
Europe,United Kingdom,2007,60987
Europe,United Kingdom,2008,61394
Europe,United Kingdom,2009,61811
Europe,United Kingdom,2010,62232
N. America,United States,2001,284969
N. America,United States,2002,287625
N. America,United States,2003,290108
N. America,United States,2004,292805
N. America,United States,2005,295517
N. America,United States,2006,298380
N. America,United States,2007,301231
N. America,United States,2008,304094
N. America,United States,2009,306772
N. America,United States,2010,309349
