Date,Excellent/Good,Fair/Poor
2/29/2004,31,68
4/25/2004,38,60
8/10/2004,33,66
12/15/2004,36,63
1/9/2005,39,60
5/15/2005,31,68
9/11/2005,32,67
10/10/2005,25,74
1/8/2006,34,64
3/6/2006,34,65
9/10/2006,37,62
12/10/2006,38,60
2/11/2007,32,67
6/3/2007,33,65
9/16/2007,26,72
11/26/2007,23,76
1/13/2008,26,73
2/2/2008,18,81
3/22/2008,11,88
4/27/2008,12,88
7/27/2008,10,89
9/29/2008,7,92
10/12/2008,8,91
10/26/2008,7,92
12/8/2008,7,92
2/8/2009,5,94
3/12/2009,6,93
6/14/2009,9,90
8/17/2009,8,90
10/4/2009,8,91
11/8/2009,9,91
12/13/2009,8,91
2/9/2010,8,92
3/14/2010,7,92
4/26/2010,11,88
9/6/2010,8,91
10/18/2010,8,91
12/5/2010,10,89
2/7/2011,12,87
4/3/2011,8,91
6/19/2011,8,91
8/21/2011,7,93
12/11/2011,8,91
1/16/2012,11,89
2/12/2012,11,88
3/11/2012,10,89
6/17/2012,11,89
9/16/2012,13,86
10/28/2012,13,86
12/9/2012,15,85
1/13/2013,13,87
3/21/2013,16,83
6/16/2013,23,76
7/21/2013,17,82
9/8/2013,19,80
10/13/2013,13,87
12/8/2013,15,84
1/19/2014,16,83
4/27/2014,17,83
7/14/2014,19,81
10/20/2014,21,78
1/11/2015,27,72
2/22/2015,26,74
5/18/2015,27,73
