gender,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,traveltime,studytime,failures,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
nominal,years,nominal,nominal,nominal,ordinal,ordinal,nominal,nominal,nominal,ordinal,ordinal,times,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ordinal,ordinal,ordinal,ordinal,ordinal,ordinal,times,points,points,points
Female,18,Urban,>3,A,4,4,at_home,teacher,course,2,2,0,yes,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6
Female,17,Urban,>3,T,1,1,at_home,other,course,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6
Female,15,Urban,<=3,T,1,1,at_home,other,other,1,2,3,yes,no,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10
Female,15,Urban,>3,T,4,2,health,services,home,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
Female,16,Urban,>3,T,3,3,other,other,home,1,2,0,no,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10
Male,16,Urban,<=3,T,4,3,services,other,reputation,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15
Male,16,Urban,<=3,T,2,2,other,other,home,1,2,0,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11
Female,17,Urban,>3,A,4,4,other,teacher,home,2,2,0,yes,yes,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6
Male,15,Urban,<=3,A,3,2,services,other,home,1,2,0,no,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19
Male,15,Urban,>3,T,3,4,other,other,home,1,2,0,no,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15
Female,15,Urban,>3,T,4,4,teacher,health,reputation,1,2,0,no,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9
Female,15,Urban,>3,T,2,1,services,other,reputation,3,3,0,no,yes,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12
Male,15,Urban,<=3,T,4,4,health,services,course,1,1,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14
Male,15,Urban,>3,T,4,3,teacher,other,course,2,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11
Male,15,Urban,>3,A,2,2,other,other,home,1,3,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16
Female,16,Urban,>3,T,4,4,health,other,home,1,1,0,no,yes,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14
Female,16,Urban,>3,T,4,4,services,services,reputation,1,3,0,no,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14
Female,16,Urban,>3,T,3,3,other,other,reputation,3,2,0,yes,yes,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10
Male,17,Urban,>3,T,3,2,services,services,course,1,1,3,no,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5
Male,16,Urban,<=3,T,4,3,health,other,home,1,1,0,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10
