City,Month-date,Temperature
nominal,ordinal,C
Tokyo,1,7
Tokyo,2,6.9
Tokyo,3,9.5
Tokyo,4,14.5
Tokyo,5,18.2
Tokyo,6,21.5
Tokyo,7,25.2
Tokyo,8,26.5
Tokyo,9,23.3
Tokyo,10,18.3
Tokyo,11,13.9
Tokyo,12,9.6
New York,1,-0.2
New York,2,0.8
New York,3,5.7
New York,4,11.3
New York,5,17
New York,6,22
New York,7,24.8
New York,8,24.1
New York,9,20.1
New York,10,14.1
New York,11,8.6
New York,12,2.5
Berlin,1,-0.9
Berlin,2,0.6
Berlin,3,3.5
Berlin,4,8.4
Berlin,5,13.5
Berlin,6,17
Berlin,7,18.6
Berlin,8,17.9
Berlin,9,14.3
Berlin,10,9
Berlin,11,3.9
Berlin,12,1
London,1,3.9
London,2,4.2
London,3,5.7
London,4,8.5
London,5,11.9
London,6,15.2
London,7,17
London,8,16.6
London,9,14.2
London,10,10.3
London,11,6.6
London,12,4.8
