Country,Region,Population,Under15,Over60,FertilityRate,LifeExpectancy,ChildMortality,CellularSubscribers
nominal,nominal,thousands,%,%,%,age,¢¶,num
Afghanistan,Eastern Mediterranean,29825,47.42,3.82,5.4,60,98.5,54.26
Albania,Europe,3162,21.33,14.93,1.75,74,16.7,96.39
Algeria,Africa,38482,27.42,7.17,2.83,73,20,98.99
Angola,Africa,20821,47.58,3.84,6.1,51,163.5,48.38
Antigua and Barbuda,Americas,89,25.96,12.35,2.12,75,9.9,196.41
Argentina,Americas,41087,24.42,14.97,"
2.2
",76,14.2,134.92
Armenia,Europe,2969,20.34,14.06,"
1.74
",71,16.4,103.57
Australia,Western Pacific,23050,18.95,19.46,"
1.89
",82,4.9,108.34
Austria,Europe,8464,14.51,23.52,"
1.44
",81,4,154.78
Azerbaijan,Europe,9309,22.25,8.24,"
1.96
",71,35.2,108.75
Bahamas,Americas,372,21.62,11.24,"
1.9
",75,16.9,86.06
Bahrain,Eastern Mediterranean,1318,20.16,3.38,"
2.12
",79,9.6,127.96
Bangladesh,South-East Asia,155000,30.57,6.89,"
2.24
",70,40.9,56.06
Barbados,Americas,283,18.99,15.78,"
1.84
",78,18.4,127.01
Belarus,Europe,9405,15.1,19.31,"
1.47
",71,5.2,111.88
Belgium,Europe,11060,16.88,23.81,"
1.85
",80,4.2,116.61
Belize,Americas,324,34.4,5.74,"
2.76
",74,18.3,69.96
Benin,Africa,10051,42.95,4.54,"
5.01
",57,89.5,85.33
Bhutan,South-East Asia,742,28.53,6.9,"
2.32
",67,44.6,65.58
Bolivia (Plurinational State of),Americas,10496,35.23,7.28,"
3.31
",67,41.4,82.82
Bosnia and Herzegovina,Europe,3834,16.35,20.52,"
1.26
",76,6.7,84.52
Botswana,Africa,2004,33.75,5.63,"
2.71
",66,53.3,142.82
Brazil,Americas,199000,24.56,10.81,"
1.82
",74,14.4,124.26
Brunei Darussalam,Western Pacific,412,25.75,7.03,"
2.03
",77,8,109.17
Bulgaria,Europe,7278,13.53,26.11,"
1.51
",74,12.1,140.68
Burkina Faso,Africa,16460,45.66,3.88,"
5.78
",56,102.4,45.27
Burundi,Africa,9850,44.2,3.87,"
6.21
",53,104.3,22.33
Cambodia,Western Pacific,14865,31.23,7.67,"
2.93
",65,39.7,96.17
Cameroon,Africa,21700,43.08,4.89,"
4.94
",53,94.9,52.35
Canada,Americas,34838,16.37,20.82,"
1.66
",82,5.3,79.73
Cape Verde,Africa,494,30.17,7.05,"
2.38
",72,22.2,79.19
